country,continent,population,Cases,Recovered,Deaths,Tests,year,month,day_of_month,hour
4,1,5797805.0,704753890,675619811.0,7010681.0,2226216.0,2024,6,30,16
224,4,334805269.0,111820082,109814428.0,1219487.0,1186851502.0,2024,6,30,16
98,2,1406631776.0,45035393,235145.5,533570.0,935879495.0,2024,6,30,16
76,3,65584518.0,40138560,39970918.0,167642.0,271490188.0,2024,6,30,16
82,3,83883596.0,38828995,38240600.0,183027.0,122332384.0,2024,6,30,16
29,6,215353593.0,38743918,36249161.0,711380.0,63776166.0,2024,6,30,16
177,2,51329899.0,34571873,34535939.0,35934.0,15804065.0,2024,6,30,16
108,2,125584838.0,33803572,235145.5,74694.0,100414883.0,2024,6,30,16
105,3,60262770.0,26723249,26361218.0,196487.0,281126449.0,2024,6,30,16
223,3,68497907.0,24910387,24678275.0,232112.0,522526476.0,2024,6,30,16
175,3,145805947.0,24124215,23545818.0,402756.0,273400000.0,2024,6,30,16
219,2,85561976.0,17232066,235145.5,102174.0,162743369.0,2024,6,30,16
13,5,26068792.0,11853144,11820014.0,24414.0,81916639.0,2024,6,30,16
232,2,98953541.0,11625195,10640971.0,43206.0,85826548.0,2024,6,30,16
209,2,23888595.0,10241523,10222518.0,19005.0,30742304.0,2024,6,30,16
9,6,46010234.0,10128845,9997258.0,130841.0,35716069.0,2024,6,30,16
150,3,17211447.0,8635786,8612599.0,22992.0,25984435.0,2024,6,30,16
137,4,131562772.0,7702809,6899865.0,334958.0,20013810.0,2024,6,30,16
100,2,86022837.0,7627186,235145.5,146811.0,57320267.0,2024,6,30,16
99,2,279134505.0,6829221,6647104.0,162063.0,114158919.0,2024,6,30,16
